Your the best....you made me feel so much better about myself__																																				
I feel like I'm talking to my best friend watching this...																																				
You're amazingly beautiful. I'm a new viewer of your channel (and have been binge watching you through my own struggles) and I highly respect your openness. <3 You're a beautiful soul.																																				
I cried																																				
I remember someone saying to me that I had 'abs naturally' on a swim trip with school. While I actually obsessively worked out daily and barely ate and did my ab routine time 3 before leaving to the trip because I was so scared of showing my body. I hated it so much that she just assumed that I naturally looked like that while it was a hell and a daily struggle to accomplish that body. ( It was also very unhealthy ofc)																																				
I remember when I quit on living and stopped having any social interactions because I thought I was fat because everyone told me that I was. And looking at the pictures then and now I see how stupid I was because I was feeling down and started to eat my feelings and eventually I got actually fat while in the past I was normal size.																																				
I've watched this video countless times just to make me feel better when I feel like relapsing. Thank you	 Gab. You'll never understand how much this helps.																																			
You helped me a lot with this video____																																				
Wow this was really inspiring it really helped! Thank you for saying your story																																				
I relate too much																																				
The song!!																																				
Yessss gabby. Plz make more of these. I'm struggling																																				
Lots of people in my past have called me fat	 I've always been bigger and taller than other girls my age and I've been comparing my weight and stomach size to others since as long as I can remember. I significantly remember a boy calling me fat and me thinking he was so right but being so angry for his pointing it out that whenever I saw him at my Tae Kwan Do that I would try and spar him and yell at him and since then my opinion on myself has decreased so much that I hate every part of my body. This video makes me feel slightly better about myself	 knowing others do experience similar and the same things																																		
You inspire me																																				
stay strong	 to anyone and myself from eating disorders																																			
This made me cry	 I didn't think anything was wrong with how I eat. I would skip breakfast	 and everyone did it	 we were in seventh grade	 nobody had time in the morning. Then I started skipping lunch. I iust didn't want to eat	 and then I started lowering my dinner portions	 now I barely eat dinner. I go days without eating and on my good days I eat 0 calories	 on my bad days I eat 800	 I always saw myself as fat	 and my own brother called me fat when I was seven	 only seven. The words of your family members impact you more than you think. Please	 think before you say something.__																									
My idol______ and honestly same																																				
please please make more of these videos	 it'd help me and I'm sure others a lot																																			
I relate to you on a lot of these. I didn't really think of it as an eating disorder. Maybe I'm just a hog	 but maybe not....																																			
That's it. I'm not letting myself bully myself.																																				
Thank u for sharing your struggle.... put my struggles in perspective as well. Keep using your voice!!! It helps so many more than you will ever know __																																				
"How do I stop comparing myself with other people? ;-; it's not about my body, but not being... popular tbh. I know it's cliche, I know it's stupid, but I really do wish that. On Instagram these girls my age get hundreds of likes, and my average amount is 13. They're so pretty and everybody loves them and they're perfect and I just exist. I do have friends, but they all have their own friends and they're my only friends. I wish I wasn't so shy. I never know what to say around people. I just want to feel like I'm not a failure."																																				
I don't see why people even think to call Gabbie fat. She's perfect she's so beautiful__																																				
God loves you all greatly !! He always has His arms wide open! For He is good and merciful __																																				
I used to have the same disorder	 but it had nothing to do with my weight. It started in Elementary school	 I was told that we weren't allowed to have food on the play ground	 so when I didn't finish	 I'd throw it away or spit it out	 I didn't realize how much of a problem it was	 and now my friends are worried that I'm underweight	 it's a huge problem																													
same																																				
And this is why I love Gabbie ____																																				
STUPID DAVID DOBRIK! He keeps calling you fat! You better slap him!																																				
I would really want more videos like this	 more in depth. It really helps me not feel alone.																																			
this time last year I weighed 49kgs... I'm 6 foot 5... and I still convinced myself that I was fat and I ate like 0-200 calories a day... now I'm recovering but I related so much to this video now I want to cry																																				
Im so related to this																																				
I've been watching gabbie since I was in 4th grade now I'm entering 8th grade	 This is why I still love and support her.																																			
"This video always pops up into my ""watch again"" at the perfect times.."																																				
I can relate to this ________																																				
I just need to met you																																				
When she talked about not being able to swallow the food and standing next to the trash can. My heart dropped. I know that this is something I had done. Gabby thanks. You really are something amazing. Honestly the best YouTuber Ive ever encountered.																																				
0:36 Gabbie: Compelled... The Vampire Diaries/ The Originals !! Fans!																																				
You're so inspirational __ This make me cry so much x																																				
aw gabbie l love you																																				
Please talk about this more...																																				
"Love you Gabbie! Don't feel so weighed down by your weight or appearance. Be yourself because everybody else is taken. ""You don't have to be trapped in a mirror to actually be cursed in one."" Chris Colfer, 2017"																																				
eat clean and exercise but treat urself once a week for starters	 not that hard but ok																																			
I have watched this video so many times and never gotten the balls to ask for more videos on how to deal with my eating disorder. It all started out when I was around 2 or 3 when my mom who was 19 at the time wouldn't feed me so I was adopted by me grandparents who then took me to the doctor cause I wasn't gonna eat I wasn't used to having food every day so my grandparents took me to the doctor and the doctor told them to put butter on everything I ate so I got pretty chubby . Now I'm older and am the one person in middle school who people think of as fat and ugly and doesn't need that much food but I was eating everything they were and now I have broken myself down so much that I will go whole days without eating or drinking I can't stop and when I eat I'm not hungry i don't want to if I didn't have to I wouldn't I have been bullied so much that everything has gotten to me and I am working out but I'm still not hungry and won't eat .																																				
This video actually made me rethink about how I've personally been acting lately. Not necessarily about my body	 yet I do know I do have as equal issues about that battle.. I realized I need to stop comparing myself to be something I'd want to be like. Actually	 seeing Gabbie daily made me want to be skinnier and.. in relationships I can't get over the past and stop comparing exes to my new boyfriend and its wrecking us.. So	 thanks to Gabbie I'm taking the first steps to helping myself.. I love you so much	 Gabbie. You're amazing and you've always helped me.																																
So great that you're sharing your story! __________________																																				
so I've seen this video before and its been like a long time	 and I'm just now watching it again and I've been dealing with a lot about my weight and it seems that I'm always worrying about my weight or what I'm eating or how much or how fast I'm eating compared to everyone else or how much room I take up or something. and the first time I watched this I didn't do any of that	 or at least not as much	 so this didn't mean as much to me as it does now	 and boy	 I really needed this	 I'm working on being healthier	 I'm working on my self-esteem	 I'm working on my mindset	 and i have lots of support	 it's hard but I am	 I'm happy I have things like this to give me some refreshers. thank you Gabs	 keep it up																								
Crying																																				
People are horrible	 I'm glad you got healthy and continue to stay healthy																																			
Gabbie. Thank you to the moon and back for this video. I am/used to be really self-confident about being fat	 for many reasons. One	 I have a friend who is super skinny	 she weighs 30 pounds less than me. I love her to death but she makes me feel really fat :( Also once	 about two years ago	 it was lunch at school and my chair was broken	 and when I went to sit down	 the chair broke completely under my weight. The class didn't know my chair was broken to begin with and they laughed and called me fat. I ran into the bathroom and cried. That summer	 I spent almost all my time searching up ways to lose weight	 I only ate when I had to	 exercised non-stop	 but I couldn't lose weight. Everytime I would gain weight	 I would cry. I felt stuck. Eventually I gave up	 but I still felt extremely self conscious. Then I started middle school. I lost so many friends	 but gained much more friends in return. They made me feel so good	 and even though people called me bad things	 I never listened to them. I had my friends to make me feel like I mattered__ Thanks to all my friends	 I stopped trying to lose weight. But I'm still self conscious. Even though I only weigh 90 pounds! Your video made me realize that life is too short to be self conscious	 and that there are so many people who wish they had MY life	 and their goal is to have MY body. That's just crazy to me. Thanks for snapping me into reality Gabbie. I hugely appreciate it!																	
My anxiety has made me eat a lot more than an average person should. I'm trying really hard now to instead of eating when I'm feeling anxious	 distract myself through exercising (it helps me feel better) or even talking to my family. I also noticed that I was dehydrated and instead of drinking water I was thinking that I was just hungry and eat a lot. Now I drink a few bottles of water a day and I'm not eating every second of every day.																																			
I am very insecure about myself. My mom will always call me fat and that made me even more insecure. I start to go on a diet where I eat less and drink less. And one day	 my blood pressure was low. If I fainted	 I will die. She got angry at me for going on this diet. I told her she is the one who caused this but OH no	 she denied.																																	
Honestly I have hated my weight for ages even though I have always been the right size for my age and height but struggled to accept that just because I am the right weight the fat can be wherever such as more in my thighs then stomach which in my case is true I was always the friend with bigger thighs for the longest time wishing I wasn't but I couldn't help it I tried diets you know how hard that is for a kid trying to live there life it honestly is so hard and working out was even harder but playing sports was my one way of thinking I was still in shape I was would look at the girls in my school who where like 90 pounds while I was in my 100 and think how is that fair but I reminded my self well if I am the right wait what are they that's when I decided that who cares what I look like I have so many friends who care and support me my sister and I go on daily runs and do extreme condition but still have not lost lots but I remind myself that my mom was also not the skinny person in the world so I am happy and could care less																																				
What annoys me is some of my boy friends call me far as a joke but it still hurts even tho all my friends are bigger																																				
Honestly your body is goals ________ I wish I had your body																																				
OMG Gabbie I'm being dead honest all those people and hate comments they need help Gabbie I'm being honest from your first video to your last you were skinney you just had some meat on your thighs doesn't madder if your fat or skinny I'm being honest not just saying this everyone here did not make themselves god did your mom did your dad did and whenever i got made fun of I would say out loud IT'S not like you can make your hair long short blue eyes brown eyes thick skinny fat small tall BUT YOU CANT you are u																																				
This is why I love Gabbie! She is so caring towards her fans! Since kindergarten people would tell me I was fat and I believed that until now. And when I would ask my mom or sister if I look fat they would say no	 but I felt like they are just being nice. I was continuing to think that I was fat. When I thought I looked fat I would get angry and change my outfit. Once I was at a family Christmas party and my grandma was talking about how my sister lost a lot of weight and I got really upset. But I got taller and also started working out like a year later and then she finally told me I looked like I lost weight	 but once she said that it didn't give me the total satisfaction that that I thought it would. So I started working on what I thought about myself not others. Now I am much healthier than I was before.																																		
I cant eat	 it hurts me i dont know whats wrong with me	 help..																																		
Mines gotten so bad i can barely eat anything other than a little light fruit without throwing up.... like and im not even forcing myself to throw up i just so																																				
I have an eating disorder.																																				
i want your therapists name i need him.. but forreal																																				
Anorexia is absolutely terrifying. I nearly drop to the floor everyday from lack of eating. It's not at easy to eat as everyone says.																																				
So scared to watch this I know for a fact it's going to trigger me and actually I'm pretty sure that's why I'm why watching .																																				
Wow gab this really helped xx																																				
Wait u ate a goldfish																																				
"Gabbie you are so beautiful and no one is right when they say you are fat. You are NOT fat. I love you and your videos and stay strong. I know you can. I have really ""unique"" hair and have been so self conscious of it because it looked very frizzy and I hated it so much I tried so many different products and tried to straighten it. Your video shows me that I don't have to be self conscious about my hair or my body. Thank you so much. I love you."																																				
I've always looked at you as an idle. You make my days so much brighter. I hate to admit it but... I have an eating disorder too. This helped me so much knowing that I'm not the only one. I love you so dearly.																																				
I watched this while eating pizza. Is that bad?																																				
"I thought she meant real gold fish, and I was like. ""WHAT??"" Lol"																																				
I love you gabbie!!____																																				
i dont wanna make this sound funny but even i laugh when i think of it but i forgot to swallow when i was sick so when my mom gave me a pill that i needed to drink i almost choked																																				
Nuh uh _______________________																																				
Thank you gabbie!!!																																				
"I remember my sister was on the verge of dying a few times bc of her eating disorder and she was so fucking skinny so I thought being skinny was normal and that being skinny is so pretty so I was like ""holy shit I need to be skinny"" . A few years passed and I was like ""I'm getting fat"" as I compare myself to these female kpop idols and I stopped eating, I would go out and run even if I had not eaten anything and had a soccer match after. I would try to not eat any sugar or gluten and try to eat at least an apple for breakfast and as little as my mom would let me for supper. My mom would tell me I haven't eating anything and I would get hungry, so what I would do is take a snack like those granola bars and I would take the bar out of the package I would chew and spit it out in the package, throw it in the trash and then drink water so that I would get full. I wanted to get that thigh gap, flat stomach thin arms. I wanted the girls at my school to look at me while we were changing in our gym close to look at me with eyes wide and say ""omg your so skinny, I can see your ribs/hip bones"". Guess what I'm fucking 15 years old and I'm still trying to be a bit thinner. I'm trying hard to do this healthy and I still compare myself to these kpop idols or Instagram models who have this gorgeous skinny body. I don't want to tell my mom or my dad bc I don't want them to call a stranger for me to talk to ( I hate talking to ppl I don't know unless they are hot/cute boys or cute girls) about my feelings plus I don't want them to go through the same thing twice. I don't want to be fucking hungry at night to the point I can't even sleep. But at the same time I want to be skinny. I know I have a problem and I'm working on it. No one will ever read this but I just felt that I can put this here anonymously and get something off my chest without anyone knowing who I am. Whatever have a good day :)"																																				
Now that I think about it	 I may have this																																			
You are beautiful __ never feel any less than																																				
Oh fuck	 ever since I gained a lil weight	 I've been so hard on myself. I'll go without eating until I can't take it anymore. Then	 I'll eat so much and feel disgusting. And I hate the extra fat I've gained. At least I'm not alone. I didn't even realize this was unhealthy.																																	
This honestly hit me hard. I'm proud of you Gabbie. I love you! This video honestly made me realize that I am too hard on myself sometimes. Thank you__																																				
It breaks my heart when you can hear her voice crack and the fake smile she puts on. She is so perfect though	 I hate how much she is hurting. You can see the tears forming in her eyes. I feel so bad.....																																			
Love this video																																				
It makes me kind of happy that I'm not the only one struggling with this	 and especially now that I'm realizing what's going on on my own and now you're making a video about it	 it's just really eye opening I guess. Thanks for the video :)																																		
Read through the end I think what's more important than your size is your health. Like there are skinny people who are SUPER unhealthy, but where are they gonna be in ten years? If you're a little chubby but you eat healthy, then everything is fine and if people wanna judge you on your weight without looking at how you act, then screw them Ok so EDIT. I wrote is before gabbie said the EXACT SAME THING. This is why I can 100% relate to gabbie's videos about being physic, these things always happen to me.																																				
my friend is not eating	 watching her calories and looking at Skinner people online. it hurts me to see her this way because really she is beautiful and skinny but she doesn't see that. I'm worried about her health. any ideas on how I could help?																																			
"""Your before photo might be someone else's goals."". Well said."																																				
some people make fun of her for going to therapy but would you rather have her turn to drugs. most people do and die from it																																				
I know this was a year ago but im going through an eating disorder																																				
I want to be very skinny but	 people are perfect the way they are and GABBIE my god is the beauty but if you want eat healthy and exercise																																			
Yes	 you helped a lot of us especially me you have helped me you and fifth harmony kept me alive																																			
Gabbie is literally my inspiration	 not to sound cheesy but i love gabbie so much because whenever im having a bad day or just in the mood for a fun time or a laugh	 there's always gabbie! ____																																		
"A lot of people over the years have called me fat and even one of my old best friends (I am no longer friends with her) called me overweight. She literally said, ""Have you ever heard of working out? You could use it"" This made me extremely upset because I am a swimmer and practice for 2 hours in the morning and then 2.5 hours at night everyday. I also eat very healthy and a balanced diet in order to keep my muscles in good condition. But when these people were talking about my weight and talking about it behind my back, I got really self conscious. I would refuse to go to swim practice and try to get out of it whenever I could because I didn't want to be seen in a swimsuit. I slipped into this funk and my swimming was awful and all my friends improved and I lacked the skill I once had. This was all going to my head and I tried so many things to make me skinny. Nothing worked. I cut myself off from everyone and I didn't have any friends. But then in 7th grade I became close friends with a girl (Let's call her Lucy) in my Phys Ed. class. Lucy was the first one I opened up to about my problems. Lucy was self councious because she was very muscular and had big thighs and ass (but like not fat) and people would say rude things. But Lucy was really pretty and I wanted to be just like her. I said, ""I feel like I'm really fat. People say it about me all the time."" and she looked appalled. She said, ""Ava! You're not fat. I wouldn't say ugh she's so skinny! Because you're curvy."" This was all I needed and I got out of my funk and made friends. What people thought of my ruined my social life and my swimming. But once this happened, I got good at swimming again, and made friends with people accepted me. I am very happy now. And if Lucy, you are reading this, thank you so much."																																				
Thank you.																																				
I'm becoming more insecure and I'm forcing myself not to do this.																																				
I cried while watching this																																				
Thank you Gabbie for speaking out about your personal experience with eating disorders. I personally love this content. Don't get me wrong	 I love you and all of yourÊother content very much	 but I love when you sit down and speak with your heart. I love it for many reasons. Number one	ÊI get to know the real you a little bit better. And number two	ÊI can connect with it on an personal level	 in a beneficial way. So thank you	 I really appreciate this. So please	 stay beautiful	 stay strong	 stay you. I love you!																											
Facts kids^^																																				
thank you																																				
Wow. I realized that I relate to you so much. I have severe anxiety (diagnosed). Depression (not yet professionally diagnosed	 we are going to see). But I have been SOOO close to starving myself	 or at least eating as little as possible. Gabbie this video has helped me so much. I am in tears writing this. I hope you see this so much so you know that you make a HUGE difference. Thank you so much. Also this is the only comment section I feel comfortable saying this. Thank you. __																																		
who's eating food while watching this																																				
Thank you gabs	 thank you. <3																																			
ohhh that explains why you are always saying things like naahh i have this i have that i might not look as pretty as her. And you're so damn pretty that i thought you are saying that cause you were just trying to be humble or something. You just need to see that you are perfect _																																				
I know this video was posted a year ago but I'm going to comment anyway. Thank you for posting this video	 I have battled with self-hatred and a need to control my environment for my entire life	 and that manifested into an eating disorder when I was 12. My father was obsessed with statistics and would weigh me almost everyday from a very young age	 so I was always aware of the number on the scales. I was always comparing my body to others	 convinced I was fat	 and was extremely self-conscious of my thighs and throughout all of primary school and junior high school and I would sit on the floor hugging my knees to my chest	 ankles crossed	 hunched over	 instead of crossing my legs normally	 for fear of people seeing how 'fat' my thighs were. At 12	 I became obsessed with portion control and calorie counting and vigorous exercise. After about 4 months my body was so deprived	 so one day I ate a chocolate chip cookie and that led to a ravenous binge. From then on I was stuck in the cycle of starving myself for a few days and then binging on junk food. I felt like a complete failure and I started to put on the weight I had lost and felt more self-conscious than ever. This continued for a year or so	 and I became more and more out of control and was drowning in self-loathing. One day in the middle of 2015 when I was really depressed	 I came across a vegan YouTuber who had previously suffered from an eating disorder of restriction and binging	 who had transformed her life after adopting the vegan lifestyle and was the healthiest and happiest she'd ever been	 eating more than she ever had	 and I realised that I had to start looking after my body and giving it energy and nutrients or it was going to hold onto fat and water weight forever. I took the plunge	 and fast forward to now	 I am still eating vegan and am the happiest I've ever been with my body. I still have other issues about control and self-hatred in other parts of my life	 but I'm so glad I am now able to love and appreciate my body and focus on being healthy	 not skinny.																
100%!!! LOVE this video Gabs	 you are beautiful just the way you	 I've never thought you were fat	 but I'm glad your feeling healthy now. I LOVE watching you <3 <3 <3																																	
Gabbie I love you so much! Your so inspirational and sweet!__ Keep being the AMAZING FUNNY person I love watching every day____ You're my inspiration for a ton of things and I know your an inspiration to others!__																																				
The only person who tells me I'm fat daily is my mom so it's eat a salad or eat nothing or dealt with her constant shit that makes me lose my appetite and just walk away from my food																																				
Love you sweetheart																																				
gabbie is fat.... fabulous amazing terrific hehe (not calling her fat)																																				
I've had an eating disorder for over a year now and I haven't been losing much weight but the pain I never really thought about and I just pushed it aside. This video helped me to realize that it is bad but honestly it's hard to eat after not eating a lot of food																																				
Thank you Gabbie I really needed this and that is have a eating disorder and I just eat my feelings for a reason that I can't say I can only give you a hint CPS																																				
You're such a strong person!!																																				
Well. I had goosebumps throughout the whole video..																																				
Gabbie it's very Brave of you to come out with a video like this and Deal with the hate You have tought me a lot And this is why u are one of the biggest inspirations in my life I see you as a life changing person to me You have tought me to be myself , to not hold on , and just express yourself, you have tought me a lot (I am a big FAN GIRL) And one of my dreams one day is to move to LA and meet you and do a collab with u somehow But you are like 13 years older than me so I just have hope that one day my dream will come true THANK YOU so much And just continue to do you Don't let nobody tell you different																																				
"I'm worried about a girl at my school. She is one of the ""popular"" people at my school, has showed obviously that she cares what people think about her, wears a lot of makeup, and is very skinny. Now, these things I would not have been concerned about or even noticed at all if I hadn't heard what I heard next. In class, before the teacher came in and we were all talking, I was sitting next to her, and she was talking to one of her close friends, and I heard her say ""Yeah, I throw up all the time. Like every morning, actually, but it's whatever."" Like, dude? That's not normal? Like at all? I really don't know what to do or say anymore."																																				
Gabbie you are fantastic and perfect and amazing...YOU ARE STUNNING and I don't know how you are not aware of that love you Gabbie____																																				
I don't have the eating disorder but I look like I have one. I eat so much but I'm still so skinny ____																																				
Eating makes you fat and fat is wight and wight drags you lower and lower till the end and all you can do is eat eat eat																																				
"This is a true story. I have this friend who is absolutely gorgeous, even before we were friends I knew that girl was prettier than anyone I've ever met. I always looked at her and saw how skinny and beautiful she was and felt bad about myself. I thought ""I am so ugly"" and "" by body is so horrible"". Months after, we were talking and she confessed that she always looked at me and thought how ugly she was and how fat she was. I was confused because that's how I saw her. Then we realized that all this time we've been wanting to be as the other with ought knowing we were already were. We both solve our problems together"																																				
"so strong and just amazing!. people tell me I'm skinny but the environment here is like ""the skinnier the better"" which is why all my life I've tried to loud weight. the more I lose the happier I am with my body. is what I thought. but then I noticed i will never be exactly like the image in my head. I'm different. my body has its type. it's not like anything. it's unique. I do still enjoy getting thinner but that's only because is feel light and can play volleyball( my passion) better. anyway after I noticed that^ I started focusing on becoming healthy not skinny. so I tarted eating healthier( most of the time____) and gain muscle and I just feel great you know?"																																				
Gabbie you're a super hard worker and an inspiration! And it's great to see how much you've grown since this video.. you're a great person and thanks for showing us how to not let others bring us down because we are imperfect , everyone deals with different issues and no one should pick on others because they're not the conventional beautiful.. thanks for making me smile with your videos and vlogs ________																																				
Honestly I wanna see an update video and see how she's doing																																				
I have such low confidence I literally started crying in the gym the other day because I felt out of place. I keep forgetting I'm only 14 and I still am young but it's so hard to get over this. Thx gabby :)																																				
thank you for this. words out I my mouth																																				
I want to have anorexia. I look at my weight and I'm not satisfied. I eat healthy	 I work out	 but my body doesn't change. I am 142 pounds and I am 13. I don't even have a stomach! I have a flat stomach but the numbers are what's killing me. Help?																																		
I hate my body even my older brother calls me fat I cry myself to sleep and I starve myself and once I start eating something sometimes ill just spit it out thanks for inspiring me when I really need it																																				
I'm a 13 and I feel like I'm overweight.I weigh 167 pounds	and all the thin girls at my school make fun of me.I have a boyfriend and friends that say I'm beautiful	 but every time I look in the mirror I just see all my mistakes...that's kinda why I hate pictures of myself.I'm trying to get rid of it	and I've tried several diets	workouts	heck even starvation. but its not showing.I just don't know what to do.																															
I'm so happy for you gabbie!! I don't quite struggle with the same thing but I do have a low self esteem and confidence level and often wonder if I'm overweight and sometimes it just doesn't seem to go away thank you for uploading this video it really did help!!! I love you and your videos keep It up																																				
"My name is Bianca. I'm twelve years old. I weigh totally over the average weight. I have C cup boobs __. I know that you will probably bully me, but I'm 160 pounds. People tell me everyday, on social media and in real life, that I am fat. People tell me to kill my self, and stop eating so I can become ""normal weight"" . At one time, I was barely eating (it was like for a month) and then the same people would tell me to start eating. They tell me I can't look good in ""cute clothes"" because I'm a large/extra large and not a small. Gabbie, thank you so much for this video, I had been cutting myself, skipping meals, and trying to be ""the perfect body"" , now, I'm happy about my ""big"" body because it means my friends give me the best bear hugs (they call me Bonka bear) and I love it. I've lost most of my friends, but I really needed this video. Thank you gabbie for admitting you're not perfect, just like everyone else in the world."																																				
my eating disorder waswnt as bad but I have never been fat I was always 60 70 80 ponds never any higher and I'm 87 ponds right now but I this year I started thinking of my self as fat and I started to not wanting to eat and I was being forced to eat and it hurt a lot cuz i wouldn't eat very much but I've now gotten a lot better but now I'm trying to be confident and happy with who I am																																				
could we have an update on how your doing now? I understand if you would like to keep it to yourself because this is your personal life and I have tons of respect for and I don't want to offend you by asking you to tell us more. love you gabby :)																																				
"I know people say ""Your beautiful just the way you are"" ""your not fat"" ""weight is just a number"" I'm a 14 year old female and currently 150 pounds. I feel fat, I'm not healthy... But I see girls at the mall or pool who are like 120 that are OLDER then me.. I want to be skinny.. Someone help with my problem.... I need advice"																																				
"I kinda have an eating disorder. When I was 12 I gained a lot of weight because of my mental health. I was bullied by people I didn't know. Then when I was 13, I starved myself. And I lost weight. When I was 14 I was about 62 kg. And I felt so so fat. I always was between 62 to 68. ALL THE TIME. I starved always about 4 Days in a row. But then I was in a mental hospital for 2 times. I gained so much weight in that time. I was 74 kg after these two times. After that I tried to kill myself. I hated myself so much. So I was in a coma for about a week, and lost weight; which were my muscles. And my body is very fucked up since then. I still have these thoughts, still want to be so frckn skinny. But my body doesn't allow me to. The last time I watched on the scale I was about 84kg. And I don't eat unhealthy. I'm doing workouts, being a vegetarian. I'm nearly 18 now and I hope my body will recover from my suicide attempt which was nearly 3 years ago. Because my mental disorders ruined myself."																																				
In today's generation there are so many expectations for everyone to be perfect. It's annoying																																				
This makes me think I I've an eating disorder																																				
When she said I was only eating 500-800 calories made me think about my calories tracker and I only eat 280																																				
In the month of july draw half a heart somewhere on your body and tag it with the #julyawareness																																				
you helped me ______																																				
Gabbie helps me so much. I've always had this obsession with my weight and at first I tried not eating	 but I still didn't exercise and I ended gaining weight and splitting headaches. Thankfully after a few years of trial and error I've started exercising and eating healthier. I still have my days were I don't want to eat	 but I push through it and made sure I ate anyways despite the urges not to. I can successfully say I've gone down two sizes and look forward to going down more.																																		
Every body is made in their own unique way. And it's your decision either to show it off or hide it. I think u are perfect the way u are. Your features make u who u are __ which is a big hearted 	 hilarious Individual that speaks her mind. Don't let anyone's words change your mind. Continue to be yourself bc that's the best u can be																																			
I had a eating disorder from ages 9-12 and it was because my friend was unhealthy at all she wanted yet was only 53 pounds in grade 4 and I thought that meant I was fat so I ate 1 'meal' a day which was a fruit salad and pretend to eat every other meal I told my parents I was fine and they never knew I had it and to this day they did not I ended up losing 40 pounds in 1 year I was proud but I felt so sick I ran at least 3 miles a day and when I turned 13 my current age I stopped this I was only 83 pound at 13 that is not healthy I started eating better I still exercised a lot and still do but I'm much healthier now and when I saw this last year I came back too it Almaty daily and thought I need to get help and about 1 year later I am happy and healthy with a loving bf who supprted me through this whole process(read any replies from myself they have a little bit more info)																																				
Thank you- please make more videos like this- I had just thrown up- on purpose- before watching this video and I am crying because you are so inspiring and beautiful. THANK YOU!! __																																				
Gabbie	 please make a video of your eating disorder	 in more depth please.....																																		
this made me cry..anyways I guess I should focus on gaining confidence and not so much on losing weight																																				
I'm crying _																																				
dat sunburn tho																																				
You are so beautiful Gabbie x we all love you so much x																																				
Gabby!!! you are legitimately one of the most beautiful (inside n out)people iv ever seen! thank you for sharing your story! i know how hard it is. love love love u!																																				
Gabbie hank you so much for making this video it helped me with mine																																				
"I used to be small, not in height but in weight, but once I hit puberty I started gaining a lot. In 6t grade, one of my friends who was was smaller than me, commented ""ugh I can't believe myself. I am 85 pounds, I'm such a fatass."". This hurt me. My friend called herself fat for being 85 pounds at the age of 12, while I was 116 then, and I was 11. I've been called fat a lot, and it doesn't help that all my friends are in the 80-low 100's. They are all skinny, and everyone compares me to them. Now that I'm 13, I still get bullied, and I've tried to lose weight. I've tried exersising, I've tried not eating, and I even told one of my friends that and she told a lot of people and that made everything worse. They don't get that I am trying to be comfortable in my own body, and I want to be comfortable, but I can't when everyone is putting me down. At lunch I've been told "" go grab a salad, you need it"", and ""your seriously eating that? Damn, you fatass""."																																				
awww __im 12 and u helped me rn																																				
my eating disorder was leading to suicidal thoughts but even if now i'm still just as bad it is nice to see a video like this.																																				
we still love you, no matter what you look like. you're a beautiful person inside and out. *trying not to be creepy																																				
You got this!																																				
I just took a trip to California. And since I was go go go for five whole days	 I didn't really eat too much. I noticed that even though I was on my period and bloated	 my stomach was still flat and I liked it. Since I've gotten back	 I've been waiting until I was basically starving and then eat everything in sight. I'm now sitting in my room trying to convince myself not to go down this path and my stomach is in so much pain from eating so much a few hours ago. I have anxiety and I compare myself to everyone. I know it's awful but I find myself crying because I hate myself and the way I look. I'm trying so hard. I've placed alarms to eat and certain things to eat at certain times to keep myself from binging. Shit. I never even admitted that I have started to binge eat but I guess I have. I really hope I can stay away from the path that many others that have gone down.																																	
I live with a eating disorder too																																				
Gabbie is so pretty																																				
i'm in the thick of a (maybe) eating disorder	 i have signs of anorexia	 but i'm right in the middle of it and nothing anyone says to me has changed my mindset. all i want to do is see the number on the scale drop more and more. i am currently 103.5 lbs and i've dropped 5 pounds in one week. i'm scared of myself	 but this is the one thing that i can control in my life and i'm taking full advantage of it. everything else is falling apart but at least i can control my weight.																																	
Idk why but the song at the end just made me burst out in tears....																																				
"people look at me and say ""no way she has an eating disorder she's so big"""																																				
She is so pretty	 your not fat at all!																																			
Gabbie Is My Goal Of Weight.																																				
People who call you fat are dumb because I have never ever seen you as fat if any thing you are like a perfect size :) Big fan																																				
I have been told I have an eating disorder. it is hard. I am not skinny.... but not fat either. anyone who looks at me probably thinks I am normal. I am underweight	 and I now have to gain weight to get better. but gaining weight isn't going to fix me mentally. if u r going through an eating disorder u can be mended	 just like I am being mended right now. It is hard sure	 but it is affecting not only my life but my family to.																																	
I freak out because I have ~disordered eating~ (not professionally diagnosed or anything) but I'm pretty sure my body is in survival mode because I haven't lost a lot of weight in a while and I don't know how to fix it. I excersize normally and stuff. How do I fix it and start losing weight again? I lost like 50 pounds but I'm stuck at a plateau.																																				
